level,name,value
1,strength,10
1,vitality,11
1,magic,13
1,spirit,14
1,dexterity,5
2,strength,12
2,vitality,13
2,magic,13
2,spirit,15
2,dexterity,7
3,strength,13
3,vitality,13
3,magic,13
3,spirit,16
3,dexterity,7
4,strength,14
4,vitality,15
4,magic,13
4,spirit,17
4,dexterity,7
5,strength,15
5,vitality,15
5,magic,13
5,spirit,19
5,dexterity,7
6,strength,16
6,vitality,15
6,magic,13
6,spirit,19
6,dexterity,7
7,strength,17
7,vitality,16
7,magic,14
7,spirit,21
7,dexterity,7
8,strength,17
8,vitality,17
8,magic,15
8,spirit,22
8,dexterity,10
9,strength,17
9,vitality,18
9,magic,17
9,spirit,23
9,dexterity,12
10,strength,19
10,vitality,19
10,magic,17
10,spirit,23
10,dexterity,13
11,strength,20
11,vitality,20
11,magic,17
11,spirit,26
11,dexterity,14
12,strength,20
12,vitality,22
12,magic,17
12,spirit,26
12,dexterity,16
13,strength,21
13,vitality,22
13,magic,18
13,spirit,27
13,dexterity,17
14,strength,23
14,vitality,22
14,magic,20
14,spirit,28
14,dexterity,18
15,strength,23
15,vitality,23
15,magic,23
15,spirit,30
15,dexterity,18
16,strength,25
16,vitality,24
16,magic,23
16,spirit,31
16,dexterity,19
17,strength,26
17,vitality,25
17,magic,25
17,spirit,31
17,dexterity,19
18,strength,28
18,vitality,27
18,magic,26
18,spirit,31
18,dexterity,19
19,strength,28
19,vitality,28
19,magic,26
19,spirit,32
19,dexterity,20
20,strength,28
20,vitality,29
20,magic,26
20,spirit,33
20,dexterity,21
21,strength,30
21,vitality,31
21,magic,26
21,spirit,33
21,dexterity,21
22,strength,32
22,vitality,31
22,magic,29
22,spirit,33
22,dexterity,22
23,strength,34
23,vitality,32
23,magic,30
23,spirit,33
23,dexterity,22
24,strength,34
24,vitality,33
24,magic,30
24,spirit,34
24,dexterity,22
25,strength,35
25,vitality,34
25,magic,32
25,spirit,35
25,dexterity,24
26,strength,35
26,vitality,36
26,magic,32
26,spirit,36
26,dexterity,24
27,strength,35
27,vitality,37
27,magic,33
27,spirit,36
27,dexterity,24
28,strength,35
28,vitality,39
28,magic,33
28,spirit,36
28,dexterity,24
29,strength,37
29,vitality,40
29,magic,35
29,spirit,36
29,dexterity,26
30,strength,39
30,vitality,41
30,magic,37
30,spirit,36
30,dexterity,28
31,strength,40
31,vitality,41
31,magic,37
31,spirit,36
31,dexterity,29
32,strength,41
32,vitality,44
32,magic,37
32,spirit,36
32,dexterity,30
33,strength,43
33,vitality,44
33,magic,39
33,spirit,37
33,dexterity,30
34,strength,44
34,vitality,44
34,magic,40
34,spirit,38
34,dexterity,32
35,strength,45
35,vitality,47
35,magic,40
35,spirit,40
35,dexterity,33
36,strength,46
36,vitality,49
36,magic,41
36,spirit,41
36,dexterity,33
37,strength,47
37,vitality,50
37,magic,41
37,spirit,41
37,dexterity,33
38,strength,47
38,vitality,51
38,magic,42
38,spirit,43
38,dexterity,34
39,strength,48
39,vitality,53
39,magic,44
39,spirit,45
39,dexterity,34
40,strength,49
40,vitality,54
40,magic,44
40,spirit,45
40,dexterity,36
41,strength,49
41,vitality,54
41,magic,45
41,spirit,45
41,dexterity,38
42,strength,50
42,vitality,55
42,magic,47
42,spirit,45
42,dexterity,38
43,strength,52
43,vitality,56
43,magic,47
43,spirit,46
43,dexterity,38
44,strength,52
44,vitality,57
44,magic,49
44,spirit,47
44,dexterity,39
45,strength,52
45,vitality,58
45,magic,49
45,spirit,47
45,dexterity,39
46,strength,53
46,vitality,58
46,magic,49
46,spirit,47
46,dexterity,39
47,strength,53
47,vitality,58
47,magic,49
47,spirit,47
47,dexterity,39
48,strength,53
48,vitality,58
48,magic,51
48,spirit,50
48,dexterity,41
49,strength,55
49,vitality,60
49,magic,52
49,spirit,52
49,dexterity,42
50,strength,55
50,vitality,60
50,magic,52
50,spirit,54
50,dexterity,44
51,strength,56
51,vitality,62
51,magic,54
51,spirit,56
51,dexterity,45
52,strength,56
52,vitality,63
52,magic,56
52,spirit,56
52,dexterity,45
53,strength,57
53,vitality,63
53,magic,58
53,spirit,59
53,dexterity,45
54,strength,59
54,vitality,63
54,magic,59
54,spirit,59
54,dexterity,46
55,strength,60
55,vitality,63
55,magic,60
55,spirit,60
55,dexterity,46
56,strength,61
56,vitality,64
56,magic,62
56,spirit,60
56,dexterity,47
57,strength,61
57,vitality,64
57,magic,63
57,spirit,61
57,dexterity,47
58,strength,61
58,vitality,65
58,magic,64
58,spirit,62
58,dexterity,48
59,strength,61
59,vitality,66
59,magic,64
