level,name,value
1,strength,12
1,vitality,12
1,magic,11
1,spirit,10
1,dexterity,6
2,strength,13
2,vitality,14
2,magic,13
2,spirit,12
2,dexterity,7
3,strength,13
3,vitality,14
3,magic,14
3,spirit,12
3,dexterity,7
4,strength,14
4,vitality,15
4,magic,15
4,spirit,13
4,dexterity,9
5,strength,16
5,vitality,16
5,magic,15
5,spirit,13
5,dexterity,9
6,strength,16
6,vitality,16
6,magic,15
6,spirit,15
6,dexterity,11
7,strength,16
7,vitality,17
7,magic,17
7,spirit,15
7,dexterity,11
8,strength,18
8,vitality,19
8,magic,17
8,spirit,17
8,dexterity,12
9,strength,20
9,vitality,21
9,magic,18
9,spirit,18
9,dexterity,12
10,strength,21
10,vitality,23
10,magic,19
10,spirit,19
10,dexterity,13
11,strength,21
11,vitality,25
11,magic,21
11,spirit,19
11,dexterity,13
12,strength,22
12,vitality,25
12,magic,22
12,spirit,19
12,dexterity,14
13,strength,25
13,vitality,25
13,magic,22
13,spirit,19
13,dexterity,16
14,strength,25
14,vitality,25
14,magic,24
14,spirit,19
14,dexterity,18
15,strength,26
15,vitality,27
15,magic,26
15,spirit,20
15,dexterity,19
16,strength,27
16,vitality,30
16,magic,28
16,spirit,20
16,dexterity,20
17,strength,29
17,vitality,32
17,magic,29
17,spirit,21
17,dexterity,20
18,strength,31
18,vitality,33
18,magic,30
18,spirit,24
18,dexterity,20
19,strength,32
19,vitality,34
19,magic,31
19,spirit,26
19,dexterity,20
20,strength,34
20,vitality,35
20,magic,32
20,spirit,28
20,dexterity,20
21,strength,34
21,vitality,36
21,magic,32
21,spirit,30
21,dexterity,22
22,strength,36
22,vitality,37
22,magic,33
22,spirit,30
22,dexterity,22
23,strength,38
23,vitality,39
23,magic,35
23,spirit,33
23,dexterity,22
24,strength,39
24,vitality,39
24,magic,36
24,spirit,35
24,dexterity,23
25,strength,39
25,vitality,39
25,magic,37
25,spirit,36
25,dexterity,25
26,strength,40
26,vitality,42
26,magic,37
26,spirit,38
26,dexterity,25
27,strength,42
27,vitality,43
27,magic,37
27,spirit,40
27,dexterity,26
28,strength,44
28,vitality,45
28,magic,39
28,spirit,40
28,dexterity,26
29,strength,44
29,vitality,48
29,magic,41
29,spirit,42
29,dexterity,27
30,strength,44
30,vitality,50
30,magic,41
30,spirit,42
30,dexterity,27
31,strength,46
31,vitality,50
31,magic,43
31,spirit,44
31,dexterity,28
32,strength,48
32,vitality,51
32,magic,45
32,spirit,47
32,dexterity,28
33,strength,49
33,vitality,52
33,magic,46
33,spirit,49
33,dexterity,30
34,strength,49
34,vitality,54
34,magic,46
34,spirit,50
34,dexterity,31
35,strength,50
35,vitality,55
35,magic,47
35,spirit,51
35,dexterity,32
36,strength,51
36,vitality,56
36,magic,48
36,spirit,52
36,dexterity,32
37,strength,53
37,vitality,57
37,magic,50
37,spirit,54
37,dexterity,32
38,strength,53
38,vitality,58
38,magic,52
38,spirit,55
38,dexterity,33
39,strength,54
39,vitality,59
39,magic,53
39,spirit,57
39,dexterity,33
40,strength,56
40,vitality,61
40,magic,53
40,spirit,58
40,dexterity,33
41,strength,58
41,vitality,63
41,magic,53
41,spirit,58
41,dexterity,33
42,strength,59
42,vitality,63
42,magic,53
42,spirit,58
42,dexterity,35
43,strength,60
43,vitality,64
43,magic,55
43,spirit,59
43,dexterity,37
44,strength,62
44,vitality,65
44,magic,55
44,spirit,60
44,dexterity,37
45,strength,63
45,vitality,66
45,magic,55
45,spirit,60
45,dexterity,39
46,strength,64
46,vitality,66
46,magic,56
46,spirit,61
46,dexterity,39
47,strength,64
47,vitality,66
47,magic,59
47,spirit,63
47,dexterity,41
48,strength,64
48,vitality,68
48,magic,60
48,spirit,63
48,dexterity,42
49,strength,66
49,vitality,68
49,magic,61
49,spirit,65
49,dexterity,43
50,strength,67
50,vitality,69
50,magic,61
50,spirit,67
50,dexterity,44
51,strength,67
51,vitality,70
51,magic,61
51,spirit,68
51,dexterity,44
52,strength,68
52,vitality,70
52,magic,61
52,spirit,68
52,dexterity,44
53,strength,68
53,vitality,71
53,magic,62
53,spirit,68
53,dexterity,44
54,strength,68
54,vitality,72
54,magic,62
54,spirit,70
54,dexterity,45
55,strength,68
55,vitality,72
55,magic,63
55,spirit,71
55,dexterity,46
56,strength,69
56,vitality,72
56,magic,63
56,spirit,72
56,dexterity,46
57,strength,69
57,vitality,72
57,magic,65
57,spirit,73
57,dexterity,47
58,strength,70
58,vitality,74
58,magic,65
58,spirit,73
58,dexterity,47
59,strength,72
59,vitality,74
59,magic,67
59,spirit,74
59,dexterity,47
60,strength,72
60,vitality,75
60,magic,69
60,spirit,74
60,dexterity,47
61,strength,72
61,vitality,75
61,magic,70
61,spirit,75
61,dexterity,47
62,strength,72
62,vitality,76
62,magic,71
62,spirit,75
62,dexterity,48
63,strength,72
63,vitality,77
63,magic,71
63,spirit,75
63,dexterity,50
64,strength,73
64,vitality,78
64,magic,71
64,spirit,75
64,dexterity,50
