level,name,value
1,strength,20
1,vitality,16
1,magic,19
1,spirit,17
1,dexterity,6
2,strength,20
2,vitality,16
2,magic,19
2,spirit,18
2,dexterity,6
3,strength,20
3,vitality,16
3,magic,20
3,spirit,18
3,dexterity,6
4,strength,21
4,vitality,16
4,magic,23
4,spirit,18
4,dexterity,8
5,strength,21
5,vitality,16
5,magic,23
5,spirit,18
5,dexterity,8
6,strength,21
6,vitality,16
6,magic,24
6,spirit,18
6,dexterity,10
7,strength,22
7,vitality,17
7,magic,26
7,spirit,20
7,dexterity,11
8,strength,22
8,vitality,17
8,magic,28
8,spirit,20
8,dexterity,12
9,strength,22
9,vitality,18
9,magic,31
9,spirit,22
9,dexterity,13
10,strength,23
10,vitality,21
10,magic,33
10,spirit,23
10,dexterity,13
11,strength,24
11,vitality,21
11,magic,34
11,spirit,25
11,dexterity,13
12,strength,24
12,vitality,21
12,magic,34
12,spirit,26
12,dexterity,14
13,strength,24
13,vitality,21
13,magic,35
13,spirit,28
13,dexterity,16
14,strength,25
14,vitality,23
14,magic,35
14,spirit,28
14,dexterity,17
15,strength,25
15,vitality,26
15,magic,35
15,spirit,28
15,dexterity,19
16,strength,27
16,vitality,28
16,magic,35
16,spirit,28
16,dexterity,19
17,strength,30
17,vitality,29
17,magic,35
17,spirit,28
17,dexterity,20
18,strength,31
18,vitality,30
18,magic,35
18,spirit,28
18,dexterity,20
19,strength,31
19,vitality,31
19,magic,36
19,spirit,29
19,dexterity,20
20,strength,32
20,vitality,33
20,magic,37
20,spirit,31
20,dexterity,20
21,strength,32
21,vitality,33
21,magic,37
21,spirit,31
21,dexterity,20
22,strength,35
22,vitality,33
22,magic,37
22,spirit,31
22,dexterity,20
23,strength,37
23,vitality,34
23,magic,37
23,spirit,32
23,dexterity,22
24,strength,40
24,vitality,35
24,magic,39
24,spirit,34
24,dexterity,24
25,strength,42
25,vitality,37
25,magic,39
25,spirit,36
25,dexterity,24
26,strength,43
26,vitality,37
26,magic,41
26,spirit,36
26,dexterity,25
27,strength,45
27,vitality,37
27,magic,42
27,spirit,38
27,dexterity,26
28,strength,45
28,vitality,38
28,magic,43
28,spirit,38
28,dexterity,26
29,strength,45
29,vitality,39
29,magic,43
29,spirit,40
29,dexterity,28
30,strength,45
30,vitality,41
30,magic,46
30,spirit,42
30,dexterity,29
31,strength,45
31,vitality,41
31,magic,46
31,spirit,44
31,dexterity,30
32,strength,45
32,vitality,41
32,magic,48
32,spirit,45
32,dexterity,31
33,strength,45
33,vitality,41
33,magic,48
33,spirit,45
33,dexterity,31
34,strength,45
34,vitality,42
34,magic,48
34,spirit,48
34,dexterity,31
35,strength,47
35,vitality,43
35,magic,48
35,spirit,49
35,dexterity,31
36,strength,47
36,vitality,43
36,magic,48
36,spirit,50
36,dexterity,32
37,strength,50
37,vitality,46
37,magic,48
37,spirit,53
37,dexterity,33
38,strength,51
38,vitality,46
38,magic,48
38,spirit,56
38,dexterity,35
39,strength,53
39,vitality,46
39,magic,48
39,spirit,58
39,dexterity,35
40,strength,55
40,vitality,48
40,magic,49
40,spirit,61
40,dexterity,37
41,strength,56
41,vitality,48
41,magic,50
41,spirit,62
41,dexterity,37
42,strength,56
42,vitality,48
42,magic,53
42,spirit,62
42,dexterity,37
43,strength,56
43,vitality,50
43,magic,53
43,spirit,63
43,dexterity,39
44,strength,58
44,vitality,51
44,magic,55
44,spirit,63
44,dexterity,39
45,strength,59
45,vitality,51
45,magic,56
45,spirit,64
45,dexterity,39
