level,name,value
1,strength,10
1,vitality,12
1,magic,11
1,spirit,10
1,dexterity,10
2,strength,12
2,vitality,13
2,magic,11
2,spirit,10
2,dexterity,12
3,strength,13
3,vitality,13
3,magic,12
3,spirit,12
3,dexterity,12
4,strength,14
4,vitality,14
4,magic,13
4,spirit,13
4,dexterity,12
5,strength,15
5,vitality,15
5,magic,13
5,spirit,14
5,dexterity,14
6,strength,15
6,vitality,17
6,magic,15
6,spirit,14
6,dexterity,14
7,strength,15
7,vitality,17
7,magic,17
7,spirit,14
7,dexterity,16
8,strength,17
8,vitality,18
8,magic,18
8,spirit,15
8,dexterity,18
9,strength,17
9,vitality,18
9,magic,20
9,spirit,18
9,dexterity,19
10,strength,18
10,vitality,19
10,magic,20
10,spirit,19
10,dexterity,20
11,strength,20
11,vitality,19
11,magic,21
11,spirit,20
11,dexterity,20
12,strength,22
12,vitality,22
12,magic,23
12,spirit,22
12,dexterity,21
13,strength,23
13,vitality,23
13,magic,25
13,spirit,22
13,dexterity,21
14,strength,25
14,vitality,25
14,magic,26
14,spirit,24
14,dexterity,21
15,strength,26
15,vitality,27
15,magic,27
15,spirit,25
15,dexterity,22
16,strength,28
16,vitality,29
16,magic,29
16,spirit,25
16,dexterity,25
17,strength,29
17,vitality,30
17,magic,29
17,spirit,27
17,dexterity,27
18,strength,29
18,vitality,30
18,magic,31
18,spirit,27
18,dexterity,28
19,strength,31
19,vitality,31
19,magic,32
19,spirit,27
19,dexterity,29
20,strength,33
20,vitality,31
20,magic,34
20,spirit,30
20,dexterity,29
21,strength,33
21,vitality,34
21,magic,34
21,spirit,31
21,dexterity,31
22,strength,34
22,vitality,36
22,magic,36
22,spirit,31
22,dexterity,31
23,strength,36
23,vitality,37
23,magic,38
23,spirit,33
23,dexterity,31
24,strength,38
24,vitality,38
24,magic,41
24,spirit,34
24,dexterity,32
25,strength,39
25,vitality,38
25,magic,41
25,spirit,36
25,dexterity,34
26,strength,39
26,vitality,40
26,magic,41
26,spirit,37
26,dexterity,34
27,strength,41
27,vitality,42
27,magic,43
27,spirit,38
27,dexterity,35
28,strength,42
28,vitality,44
28,magic,43
28,spirit,40
28,dexterity,37
29,strength,45
29,vitality,45
29,magic,44
29,spirit,42
29,dexterity,38
30,strength,45
30,vitality,46
30,magic,46
30,spirit,42
30,dexterity,39
31,strength,46
31,vitality,47
31,magic,46
31,spirit,43
31,dexterity,41
32,strength,48
32,vitality,48
32,magic,46
32,spirit,45
32,dexterity,41
33,strength,50
33,vitality,48
33,magic,47
33,spirit,45
33,dexterity,42
34,strength,50
34,vitality,50
34,magic,47
34,spirit,45
34,dexterity,43
35,strength,50
35,vitality,51
35,magic,48
35,spirit,47
35,dexterity,45
36,strength,51
36,vitality,52
36,magic,50
36,spirit,50
36,dexterity,45
37,strength,52
37,vitality,53
37,magic,52
37,spirit,52
37,dexterity,46
38,strength,52
38,vitality,53
38,magic,53
38,spirit,53
38,dexterity,46
39,strength,54
39,vitality,54
39,magic,54
39,spirit,53
39,dexterity,48
40,strength,57
40,vitality,56
40,magic,54
40,spirit,53
40,dexterity,50
41,strength,58
41,vitality,58
41,magic,56
41,spirit,54
41,dexterity,50
42,strength,59
42,vitality,60
42,magic,57
42,spirit,55
42,dexterity,50
43,strength,61
43,vitality,61
43,magic,58
43,spirit,55
43,dexterity,50
44,strength,63
44,vitality,61
44,magic,59
44,spirit,55
44,dexterity,51
45,strength,64
45,vitality,63
45,magic,61
45,spirit,55
45,dexterity,53
46,strength,66
46,vitality,63
46,magic,61
46,spirit,55
46,dexterity,54
47,strength,67
47,vitality,63
47,magic,62
47,spirit,55
47,dexterity,55
48,strength,68
48,vitality,64
48,magic,62
48,spirit,56
48,dexterity,55
49,strength,68
49,vitality,64
49,magic,64
49,spirit,56
49,dexterity,57
50,strength,68
50,vitality,66
50,magic,64
50,spirit,57
50,dexterity,57
51,strength,70
51,vitality,67
51,magic,64
51,spirit,57
51,dexterity,57
52,strength,70
52,vitality,68
52,magic,64
52,spirit,57
52,dexterity,57
53,strength,70
53,vitality,68
53,magic,66
53,spirit,58
53,dexterity,57
54,strength,71
54,vitality,68
54,magic,67
54,spirit,58
54,dexterity,58
55,strength,73
55,vitality,69
55,magic,69
55,spirit,59
55,dexterity,60
56,strength,74
56,vitality,69
56,magic,69
56,spirit,59
56,dexterity,60
57,strength,74
57,vitality,70
57,magic,69
57,spirit,59
57,dexterity,61
58,strength,75
58,vitality,71
58,magic,69
58,spirit,59
58,dexterity,61
59,strength,76
59,vitality,71
59,magic,71
59,spirit,61
59,dexterity,62
60,strength,77
60,vitality,71
60,magic,71
60,spirit,62
60,dexterity,63
61,strength,77
61,vitality,72
61,magic,71
61,spirit,62
61,dexterity,64
62,strength,77
62,vitality,72
62,magic,72
62,spirit,64
62,dexterity,64
63,strength,77
63,vitality,72
63,magic,72
63,spirit,66
63,dexterity,65
64,strength,77
64,vitality,72
64,magic,73
64,spirit,68
64,dexterity,66
65,strength,77
65,vitality,74
65,magic,75
65,spirit,68
65,dexterity,66
66,strength,78
66,vitality,74
66,magic,75
66,spirit,68
66,dexterity,66
67,strength,78
67,vitality,74
67,magic,75
67,spirit,69
67,dexterity,66
68,strength,78
68,vitality,75
68,magic,76
68,spirit,69
68,dexterity,66
69,strength,78
69,vitality,75
69,magic,76
69,spirit,69
69,dexterity,66
70,strength,78
70,vitality,75
70,magic,77
70,spirit,70
70,dexterity,67
71,strength,79
71,vitality,76
71,magic,78
71,spirit,71
71,dexterity,67
72,strength,79
72,vitality,78
72,magic,79
72,spirit,74
72,dexterity,67
73,strength,79
73,vitality,78
73,magic,79
73,spirit,76
73,dexterity,67
74,strength,79
74,vitality,78
74,magic,79
74,spirit,78
74,dexterity,67
75,strength,79
75,vitality,79
75,magic,79
75,spirit,78
75,dexterity,67
76,strength,80
76,vitality,79
76,magic,80
76,spirit,80
76,dexterity,67
77,strength,80
77,vitality,79
77,magic,80
77,spirit,82
77,dexterity,68
78,strength,80
78,vitality,81
78,magic,81
78,spirit,82
78,dexterity,68
79,strength,81
79,vitality,81
79,magic,81
79,spirit,84
79,dexterity,69
80,strength,82
80,vitality,81
80,magic,82
80,spirit,84
80,dexterity,70
81,strength,82
81,vitality,81
81,magic,83
81,spirit,85
81,dexterity,70
82,strength,84
82,vitality,81
82,magic,84
82,spirit,85
82,dexterity,70
83,strength,85
83,vitality,82
83,magic,84
83,spirit,86
83,dexterity,70
84,strength,85
84,vitality,83
84,magic,84
84,spirit,87
84,dexterity,70
85,strength,85
85,vitality,84
85,magic,84
85,spirit,87
85,dexterity,70
86,strength,85
86,vitality,84
86,magic,85
86,spirit,87
86,dexterity,71
87,strength,85
87,vitality,84
87,magic,85
87,spirit,87
87,dexterity,71
88,strength,85
88,vitality,85
88,magic,86
88,spirit,87
88,dexterity,71
89,strength,85
89,vitality,85
89,magic,86
89,spirit,87
89,dexterity,72
90,strength,85
90,vitality,86
90,magic,86
90,spirit,87
90,dexterity,72
91,strength,86
91,vitality,86
91,magic,86
91,spirit,89
91,dexterity,73
92,strength,86
92,vitality,86
92,magic,87
92,spirit,89
92,dexterity,73
93,strength,86
93,vitality,87
93,magic,87
93,spirit,90
93,dexterity,73
94,strength,87
94,vitality,88
94,magic,88
94,spirit,90
94,dexterity,73
95,strength,87
95,vitality,88
95,magic,89
95,spirit,90
95,dexterity,73
96,strength,87
96,vitality,89
96,magic,89
96,spirit,90
96,dexterity,74
97,strength,87
97,vitality,89
97,magic,89
97,spirit,92
97,dexterity,75
98,strength,87
98,vitality,89
98,magic,89
98,spirit,92
98,dexterity,76
99,strength,87
99,vitality,90
99,magic,89
99,spirit,92
99,dexterity,76
