level,name,value
1,strength,11
1,vitality,11
1,magic,11
1,spirit,10
1,dexterity,7
2,strength,13
2,vitality,11
2,magic,12
2,spirit,12
2,dexterity,8
3,strength,13
3,vitality,11
3,magic,12
3,spirit,13
3,dexterity,9
4,strength,13
4,vitality,13
4,magic,12
4,spirit,14
4,dexterity,9
5,strength,15
5,vitality,14
5,magic,14
5,spirit,14
5,dexterity,11
6,strength,17
6,vitality,14
6,magic,16
6,spirit,15
6,dexterity,11
7,strength,18
7,vitality,15
7,magic,18
7,spirit,17
7,dexterity,13
8,strength,18
8,vitality,17
8,magic,19
8,spirit,18
8,dexterity,13
9,strength,19
9,vitality,17
9,magic,20
9,spirit,20
9,dexterity,15
10,strength,20
10,vitality,19
10,magic,22
10,spirit,21
10,dexterity,16
11,strength,22
11,vitality,19
11,magic,23
11,spirit,21
11,dexterity,17
12,strength,23
12,vitality,19
12,magic,23
12,spirit,23
12,dexterity,17
13,strength,24
13,vitality,21
13,magic,25
13,spirit,24
13,dexterity,18
14,strength,26
14,vitality,22
14,magic,25
14,spirit,24
14,dexterity,18
15,strength,26
15,vitality,23
15,magic,27
15,spirit,24
15,dexterity,20
16,strength,26
16,vitality,25
16,magic,27
16,spirit,25
16,dexterity,22
17,strength,26
17,vitality,26
17,magic,27
17,spirit,26
17,dexterity,22
18,strength,26
18,vitality,28
18,magic,29
18,spirit,26
18,dexterity,22
19,strength,27
19,vitality,29
19,magic,31
19,spirit,28
19,dexterity,22
20,strength,28
20,vitality,31
20,magic,32
20,spirit,29
20,dexterity,22
21,strength,29
21,vitality,31
21,magic,32
21,spirit,31
21,dexterity,23
22,strength,29
22,vitality,33
22,magic,33
22,spirit,32
22,dexterity,24
23,strength,29
23,vitality,35
23,magic,35
23,spirit,33
23,dexterity,27
24,strength,30
24,vitality,35
24,magic,35
24,spirit,33
24,dexterity,27
25,strength,31
25,vitality,37
25,magic,36
25,spirit,36
25,dexterity,28
26,strength,34
26,vitality,37
26,magic,38
26,spirit,37
26,dexterity,29
27,strength,36
27,vitality,37
27,magic,38
27,spirit,38
27,dexterity,32
28,strength,36
28,vitality,40
28,magic,40
28,spirit,40
28,dexterity,32
29,strength,37
29,vitality,42
29,magic,41
29,spirit,41
29,dexterity,32
30,strength,38
30,vitality,44
30,magic,41
30,spirit,43
30,dexterity,35
31,strength,38
31,vitality,45
31,magic,42
31,spirit,43
31,dexterity,36
32,strength,40
32,vitality,47
32,magic,43
32,spirit,46
32,dexterity,37
33,strength,40
33,vitality,47
33,magic,44
33,spirit,46
33,dexterity,39
34,strength,40
34,vitality,48
34,magic,47
34,spirit,48
34,dexterity,39
35,strength,43
35,vitality,49
35,magic,47
35,spirit,51
35,dexterity,41
36,strength,44
36,vitality,50
36,magic,48
36,spirit,51
36,dexterity,43
37,strength,45
37,vitality,51
37,magic,51
37,spirit,51
37,dexterity,43
38,strength,47
38,vitality,51
38,magic,51
38,spirit,53
38,dexterity,43
39,strength,49
39,vitality,52
39,magic,52
39,spirit,54
39,dexterity,44
40,strength,49
40,vitality,53
40,magic,53
40,spirit,55
40,dexterity,45
41,strength,51
41,vitality,55
41,magic,55
41,spirit,55
41,dexterity,45
42,strength,51
42,vitality,55
42,magic,55
42,spirit,56
42,dexterity,46
43,strength,52
43,vitality,56
43,magic,55
43,spirit,57
43,dexterity,46
44,strength,53
44,vitality,57
44,magic,56
44,spirit,58
44,dexterity,48
45,strength,53
45,vitality,57
45,magic,57
45,spirit,58
45,dexterity,49
46,strength,54
46,vitality,59
46,magic,58
46,spirit,60
46,dexterity,49
47,strength,55
47,vitality,61
47,magic,60
47,spirit,60
47,dexterity,50
48,strength,58
48,vitality,61
48,magic,60
48,spirit,61
48,dexterity,51
49,strength,58
49,vitality,63
49,magic,62
49,spirit,62
49,dexterity,52
50,strength,60
50,vitality,63
50,magic,63
50,spirit,63
50,dexterity,53
51,strength,60
51,vitality,64
51,magic,64
51,spirit,65
51,dexterity,53
52,strength,62
52,vitality,64
52,magic,65
52,spirit,66
