level,name,value
1,strength,0
1,vitality,0
1,magic,0
1,spirit,0
1,dexterity,0
2,strength,2
2,vitality,0
2,magic,0
2,spirit,1
2,dexterity,1
3,strength,2
3,vitality,0
3,magic,0
3,spirit,1
3,dexterity,2
4,strength,2
4,vitality,2
4,magic,2
4,spirit,3
4,dexterity,3
5,strength,3
5,vitality,3
5,magic,2
5,spirit,4
5,dexterity,5
6,strength,3
6,vitality,4
6,magic,3
6,spirit,5
6,dexterity,6
7,strength,4
7,vitality,5
7,magic,5
7,spirit,5
7,dexterity,8
8,strength,7
8,vitality,5
8,magic,6
8,spirit,6
8,dexterity,10
9,strength,9
9,vitality,5
9,magic,8
9,spirit,7
9,dexterity,10
10,strength,11
10,vitality,8
10,magic,9
10,spirit,7
10,dexterity,12
11,strength,11
11,vitality,10
11,magic,10
11,spirit,8
11,dexterity,14
12,strength,12
12,vitality,10
12,magic,11
12,spirit,10
12,dexterity,14
13,strength,14
13,vitality,11
13,magic,14
13,spirit,12
13,dexterity,14
14,strength,14
14,vitality,12
14,magic,16
14,spirit,14
14,dexterity,14
15,strength,15
15,vitality,12
15,magic,17
15,spirit,16
15,dexterity,17
16,strength,16
16,vitality,14
16,magic,18
16,spirit,17
16,dexterity,19
17,strength,17
17,vitality,15
17,magic,18
17,spirit,17
17,dexterity,21
18,strength,19
18,vitality,15
18,magic,18
18,spirit,19
18,dexterity,21
19,strength,20
19,vitality,16
19,magic,19
19,spirit,20
19,dexterity,22
20,strength,21
20,vitality,17
20,magic,20
20,spirit,20
20,dexterity,23
21,strength,21
21,vitality,19
21,magic,23
21,spirit,20
21,dexterity,24
22,strength,23
22,vitality,20
22,magic,25
22,spirit,20
22,dexterity,27
23,strength,24
23,vitality,20
23,magic,27
23,spirit,22
23,dexterity,29
24,strength,26
24,vitality,22
24,magic,27
24,spirit,23
24,dexterity,30
25,strength,27
25,vitality,23
25,magic,29
25,spirit,25
25,dexterity,32
26,strength,28
26,vitality,24
26,magic,29
